state,a,b,r2,rmse
Total,0.203407965747929,2.6704338462381108,0.9976605378176546,0.03836384100061719
NSW,0.18879748995296744,2.12412840482663,0.9954124811000554,0.04992431237389076
Qld,0.21683449774841204,0.765349763368632,0.9859131653016879,0.10099957157306545
Vic,0.2299426839115572,0.6144062485548923,0.998045375590853,0.03963297059056826
Tas,0.15777214409378423,-0.6518078888489521,0.9507101295084623,0.1402072209734848
