date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,80,67,67,40,34,34,15,11,11,2,2,2,12,11,11
2020-03-09,9,92,83,83,47,41,41,15,13,13,2,2,2,15,14,14
2020-03-10,10,112,103,103,60,51,51,18,17,17,2,3,3,19,18,18
2020-03-11,11,127,128,128,64,62,62,20,21,21,3,3,3,22,22,22
2020-03-12,12,156,158,158,77,76,76,27,27,27,3,4,4,27,28,28
2020-03-13,13,198,196,196,91,93,93,35,34,34,5,4,4,36,36,36
2020-03-14,14,248,242,242,111,114,114,46,43,43,5,5,5,49,45,45
2020-03-15,15,298,300,300,133,139,139,62,54,54,7,6,6,57,57,57
2020-03-16,16,376,372,372,170,170,170,68,68,68,7,7,7,71,73,73
2020-03-17,17,453,460,460,209,208,208,78,86,86,7,8,8,94,92,92
2020-03-18,18,566,570,570,266,254,254,94,109,109,10,9,9,121,117,117
2020-03-19,19,708,706,706,306,311,311,144,137,137,10,10,10,150,148,148
2020-03-20,20,875,874,874,381,380,380,184,173,173,10,12,12,178,188,188
2020-03-21,21,1071,1082,1075,435,465,445,221,219,220,16,14,15,229,238,232
2020-03-22,22,1352,1339,1344,532,568,536,259,276,266,22,16,20,296,301,295
2020-03-23,23,1716,1658,1696,704,695,685,319,348,325,28,18,26,355,382,362
2020-03-24,24,2146,2053,2128,913,850,884,397,439,402,36,21,34,411,484,429
2020-03-25,25,,2542,2635,,1040,1081,,553,507,,24,39,,613,543
2020-03-26,26,,3148,3263,,1272,1322,,698,639,,28,45,,777,688
2020-03-27,27,,3898,4040,,1555,1617,,881,807,,32,52,,984,872
2020-03-28,28,,4826,5002,,1902,1977,,1111,1017,,37,60,,1247,1105
2020-03-29,29,,5976,6194,,2327,2418,,1401,1283,,43,69,,1580,1400
2020-03-30,30,,7399,7669,,2846,2958,,1767,1619,,50,80,,2002,1774
