date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,80,75,75,40,40,40,15,12,12,2,2,2,12,12,12
2020-03-09,9,92,92,92,47,47,47,15,15,15,2,2,2,15,15,15
2020-03-10,10,112,111,111,60,56,56,18,19,19,2,2,2,19,18,18
2020-03-11,11,127,136,136,64,67,67,20,24,24,3,3,3,22,23,23
2020-03-12,12,156,165,165,77,80,80,27,29,29,3,4,4,27,29,29
2020-03-13,13,198,200,200,91,95,95,35,36,36,5,4,4,36,36,36
2020-03-14,14,248,244,247,111,113,112,46,44,45,5,5,5,49,45,48
2020-03-15,15,298,297,299,133,134,133,62,55,60,7,6,7,57,57,58
2020-03-16,16,,361,363,,160,158,,68,74,,7,8,,71,73
2020-03-17,17,,439,442,,191,189,,84,91,,9,10,,89,91
2020-03-18,18,,534,538,,227,225,,104,113,,11,12,,112,114
2020-03-19,19,,649,654,,270,268,,129,140,,13,14,,140,143
2020-03-20,20,,790,795,,322,319,,159,173,,16,17,,176,179
2020-03-21,21,,961,967,,384,380,,197,214,,19,20,,220,224
2020-03-22,22,,1168,1177,,457,452,,243,264,,23,24,,275,281
2020-03-23,23,,1421,1431,,544,539,,300,327,,27,29,,345,351
2020-03-24,24,,1728,1741,,648,641,,372,404,,33,35,,432,440
2020-03-25,25,,2102,2117,,772,764,,459,500,,39,42,,541,551
2020-03-26,26,,2557,2575,,919,910,,568,618,,47,51,,677,690
2020-03-27,27,,3110,3132,,1095,1084,,703,764,,57,61,,848,864
2020-03-28,28,,3783,3810,,1304,1291,,869,945,,69,74,,1062,1083
2020-03-29,29,,4602,4634,,1553,1538,,1074,1168,,83,89,,1330,1356
2020-03-30,30,,5597,5637,,1850,1831,,1328,1444,,99,107,,1666,1698
