date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,80,75,75,40,40,40,15,12,12,2,2,2,12,12,12
2020-03-09,9,92,92,92,47,47,47,15,15,15,2,2,2,15,15,15
2020-03-10,10,112,111,111,60,56,56,18,19,19,2,2,2,19,18,18
2020-03-11,11,127,136,136,64,67,67,20,24,24,3,3,3,22,23,23
2020-03-12,12,156,165,165,77,80,80,27,29,29,3,4,4,27,29,29
2020-03-13,13,198,200,200,91,95,95,35,36,36,5,4,4,36,36,36
2020-03-14,14,248,244,247,111,113,112,46,44,45,5,5,5,49,45,48
2020-03-15,15,298,297,299,133,134,133,62,55,60,7,6,7,57,57,58
2020-03-16,16,376,361,371,170,160,165,68,68,70,7,7,7,71,71,72
2020-03-17,17,,439,451,,191,197,,84,87,,9,9,,89,90
2020-03-18,18,,534,549,,227,235,,104,107,,11,11,,112,112
2020-03-19,19,,649,668,,270,280,,129,133,,13,13,,140,141
2020-03-20,20,,790,812,,322,333,,159,164,,16,15,,176,176
2020-03-21,21,,961,988,,384,397,,197,203,,19,19,,220,221
2020-03-22,22,,1168,1202,,457,472,,243,251,,23,22,,275,276
2020-03-23,23,,1421,1462,,544,563,,300,310,,27,27,,345,346
2020-03-24,24,,1728,1778,,648,670,,372,384,,33,32,,432,434
2020-03-25,25,,2102,2163,,772,798,,459,474,,39,39,,541,543
2020-03-26,26,,2557,2630,,919,951,,568,587,,47,47,,677,680
2020-03-27,27,,3110,3199,,1095,1132,,703,725,,57,56,,848,852
2020-03-28,28,,3783,3892,,1304,1349,,869,897,,69,68,,1062,1067
2020-03-29,29,,4602,4733,,1553,1606,,1074,1109,,83,82,,1330,1336
2020-03-30,30,,5597,5757,,1850,1913,,1328,1372,,99,98,,1666,1673
