date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,12,75,12,12,40,12,12,12,12,12,2,12,12,12,12
2020-03-09,9,15,92,15,15,47,15,15,15,15,15,2,15,15,15,15
2020-03-10,10,19,111,18,19,56,18,19,19,18,19,2,18,19,18,18
2020-03-11,11,22,136,23,22,67,23,22,24,23,22,3,23,22,23,23
2020-03-12,12,27,165,29,27,80,29,27,29,29,27,4,29,27,29,29
2020-03-13,13,36,200,36,36,95,36,36,36,36,36,4,36,36,36,36
2020-03-14,14,49,244,48,49,113,48,49,44,48,49,5,48,49,45,48
2020-03-15,15,57,297,58,57,134,58,57,55,58,57,6,58,57,57,58
2020-03-16,16,71,361,72,71,160,72,71,68,72,71,7,72,71,71,72
2020-03-17,17,94,439,92,94,191,92,94,84,92,94,9,92,94,89,92
2020-03-18,18,121,534,119,121,227,119,121,104,119,121,11,119,121,112,119
2020-03-19,19,150,649,150,150,270,150,150,129,150,150,13,150,150,140,150
2020-03-20,20,,790,187,,322,187,,159,187,,16,187,,176,187
2020-03-21,21,,961,235,,384,235,,197,235,,19,235,,220,235
2020-03-22,22,,1168,294,,457,294,,243,294,,23,294,,275,294
2020-03-23,23,,1421,368,,544,368,,300,368,,27,368,,345,368
2020-03-24,24,,1728,461,,648,461,,372,461,,33,461,,432,461
2020-03-25,25,,2102,577,,772,577,,459,577,,39,577,,541,577
2020-03-26,26,,2557,723,,919,723,,568,723,,47,723,,677,723
2020-03-27,27,,3110,905,,1095,905,,703,905,,57,905,,848,905
2020-03-28,28,,3783,1134,,1304,1134,,869,1134,,69,1134,,1062,1134
2020-03-29,29,,4602,1420,,1553,1420,,1074,1420,,83,1420,,1330,1420
2020-03-30,30,,5597,1779,,1850,1779,,1328,1779,,99,1779,,1666,1779
