date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,12,75,12,12,40,12,12,12,12,12,2,12,12,12,12
2020-03-09,9,15,92,15,15,47,15,15,15,15,15,2,15,15,15,15
2020-03-10,10,19,111,18,19,56,18,19,19,18,19,2,18,19,18,18
2020-03-11,11,22,136,23,22,67,23,22,24,23,22,3,23,22,23,23
2020-03-12,12,27,165,29,27,80,29,27,29,29,27,4,29,27,29,29
2020-03-13,13,36,200,36,36,95,36,36,36,36,36,4,36,36,36,36
2020-03-14,14,49,244,48,49,113,48,49,44,48,49,5,48,49,45,48
2020-03-15,15,57,297,58,57,134,58,57,55,58,57,6,58,57,57,58
2020-03-16,16,71,361,72,71,160,72,71,68,72,71,7,72,71,71,72
2020-03-17,17,,439,90,,191,90,,84,90,,9,90,,89,90
2020-03-18,18,,534,112,,227,112,,104,112,,11,112,,112,112
2020-03-19,19,,649,141,,270,141,,129,141,,13,141,,140,141
2020-03-20,20,,790,176,,322,176,,159,176,,16,176,,176,176
2020-03-21,21,,961,221,,384,221,,197,221,,19,221,,220,221
2020-03-22,22,,1168,276,,457,276,,243,276,,23,276,,275,276
2020-03-23,23,,1421,346,,544,346,,300,346,,27,346,,345,346
2020-03-24,24,,1728,434,,648,434,,372,434,,33,434,,432,434
2020-03-25,25,,2102,543,,772,543,,459,543,,39,543,,541,543
2020-03-26,26,,2557,680,,919,680,,568,680,,47,680,,677,680
2020-03-27,27,,3110,852,,1095,852,,703,852,,57,852,,848,852
2020-03-28,28,,3783,1067,,1304,1067,,869,1067,,69,1067,,1062,1067
2020-03-29,29,,4602,1336,,1553,1336,,1074,1336,,83,1336,,1330,1336
2020-03-30,30,,5597,1673,,1850,1673,,1328,1673,,99,1673,,1666,1673
