date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,12,75,12,12,40,12,12,12,12,12,2,12,12,12,12
2020-03-09,9,15,92,15,15,47,15,15,15,15,15,2,15,15,15,15
2020-03-10,10,19,111,18,19,56,18,19,19,18,19,2,18,19,18,18
2020-03-11,11,22,136,23,22,67,23,22,24,23,22,3,23,22,23,23
2020-03-12,12,27,165,29,27,80,29,27,29,29,27,4,29,27,29,29
2020-03-13,13,36,200,36,36,95,36,36,36,36,36,4,36,36,36,36
2020-03-14,14,49,244,48,49,113,48,49,44,48,49,5,48,49,45,48
2020-03-15,15,57,297,58,57,134,58,57,55,58,57,6,58,57,57,58
2020-03-16,16,71,361,72,71,160,72,71,68,72,71,7,72,71,71,72
2020-03-17,17,94,439,92,94,191,92,94,84,92,94,9,92,94,89,92
2020-03-18,18,121,534,119,121,227,119,121,104,119,121,11,119,121,112,119
2020-03-19,19,,649,149,,270,149,,129,149,,13,149,,140,149
2020-03-20,20,,790,187,,322,187,,159,187,,16,187,,176,187
2020-03-21,21,,961,234,,384,234,,197,234,,19,234,,220,234
2020-03-22,22,,1168,293,,457,293,,243,293,,23,293,,275,293
2020-03-23,23,,1421,366,,544,366,,300,366,,27,366,,345,366
2020-03-24,24,,1728,459,,648,459,,372,459,,33,459,,432,459
2020-03-25,25,,2102,575,,772,575,,459,575,,39,575,,541,575
2020-03-26,26,,2557,720,,919,720,,568,720,,47,720,,677,720
2020-03-27,27,,3110,901,,1095,901,,703,901,,57,901,,848,901
2020-03-28,28,,3783,1129,,1304,1129,,869,1129,,69,1129,,1062,1129
2020-03-29,29,,4602,1414,,1553,1414,,1074,1414,,83,1414,,1330,1414
2020-03-30,30,,5597,1771,,1850,1771,,1328,1771,,99,1771,,1666,1771
