date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,12,75,12,12,40,12,12,12,12,12,2,12,12,12,12
2020-03-09,9,15,92,15,15,47,15,15,15,15,15,2,15,15,15,15
2020-03-10,10,19,111,18,19,56,18,19,19,18,19,2,18,19,18,18
2020-03-11,11,22,136,23,22,67,23,22,24,23,22,3,23,22,23,23
2020-03-12,12,27,165,29,27,80,29,27,29,29,27,4,29,27,29,29
2020-03-13,13,36,200,36,36,95,36,36,36,36,36,4,36,36,36,36
2020-03-14,14,49,244,48,49,113,48,49,44,48,49,5,48,49,45,48
2020-03-15,15,57,297,58,57,134,58,57,55,58,57,6,58,57,57,58
2020-03-16,16,,361,73,,160,73,,68,73,,7,73,,71,73
2020-03-17,17,,439,91,,191,91,,84,91,,9,91,,89,91
2020-03-18,18,,534,114,,227,114,,104,114,,11,114,,112,114
2020-03-19,19,,649,143,,270,143,,129,143,,13,143,,140,143
2020-03-20,20,,790,179,,322,179,,159,179,,16,179,,176,179
2020-03-21,21,,961,224,,384,224,,197,224,,19,224,,220,224
2020-03-22,22,,1168,281,,457,281,,243,281,,23,281,,275,281
2020-03-23,23,,1421,351,,544,351,,300,351,,27,351,,345,351
2020-03-24,24,,1728,440,,648,440,,372,440,,33,440,,432,440
2020-03-25,25,,2102,551,,772,551,,459,551,,39,551,,541,551
2020-03-26,26,,2557,690,,919,690,,568,690,,47,690,,677,690
2020-03-27,27,,3110,864,,1095,864,,703,864,,57,864,,848,864
2020-03-28,28,,3783,1083,,1304,1083,,869,1083,,69,1083,,1062,1083
2020-03-29,29,,4602,1356,,1553,1356,,1074,1356,,83,1356,,1330,1356
2020-03-30,30,,5597,1698,,1850,1698,,1328,1698,,99,1698,,1666,1698
